Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.849229832042468,0.8492454449229038,0.8492454449229038,0.8490965644054135,596.7839004993439
NuSVC,0.8365242363588896,0.8365078562070422,0.8365078562070423,0.8363613954164982,12166.32334446907
SVC,0.8199460447306588,0.8199454503643111,0.819945450364311,0.8199457501923197,3554.243399143219
RandomForestClassifier,0.816813158123749,0.8168327381423233,0.8168327381423233,0.8165574943095236,90.29629135131836
BaggingClassifier,0.7577669480462971,0.7577616337157327,0.7577616337157326,0.7577412011685931,131.68874144554138
XGBClassifier,0.7365764511356714,0.7365990991801197,0.7365990991801197,0.736082778237135,36.91892385482788
LGBMClassifier,0.7313549734574885,0.7313975226790628,0.7313975226790626,0.7295645808315531,10.193327903747559
ExtraTreeClassifier,0.7195631363675921,0.719549723349685,0.7195497233496849,0.7193763180261976,3.1175742149353027
DecisionTreeClassifier,0.7153859542250457,0.7153816280138041,0.715381628013804,0.7153658999053186,20.734609365463257
QuadraticDiscriminantAnalysis,0.6726133495779305,0.6725987196069282,0.6725987196069282,0.672354490987471,8.544917106628418
GaussianNB,0.6460708380471674,0.646050339114794,0.6460503391147939,0.6455223844576489,2.7065603733062744
LinearDiscriminantAnalysis,0.6376294491341049,0.6376262604365115,0.6376262604365114,0.6376156390637697,9.752667903900146
RidgeClassifierCV,0.6376294491341049,0.6376262149967838,0.6376262149967838,0.6376152465914512,7.74076509475708
RidgeClassifier,0.6375859368201201,0.6375827253907996,0.6375827253907996,0.6375719295181249,3.210178852081299
LogisticRegression,0.6371508136802715,0.6371484654871448,0.6371484654871448,0.6371432641693547,3.376321792602539
NearestCentroid,0.6322339221999826,0.6322204626529175,0.6322204626529174,0.6319881002167737,2.497865915298462
AdaBoostClassifier,0.6304499173266034,0.6304433868516135,0.6304433868516135,0.6303914951574758,24.803760528564453
CalibratedClassifierCV,0.6264032721260117,0.6264016707581985,0.6264016707581986,0.626399630704411,304.86751317977905
LinearSVC,0.6118266469410844,0.6118136135076255,0.6118136135076255,0.6115835294929551,81.2313494682312
SGDClassifier,0.597554607954051,0.5975462509214324,0.5975462509214324,0.5974508587301011,10.660834074020386
KNeighborsClassifier,0.5849795492124271,0.5848150351273708,0.5848150351273708,0.5392171329050217,716.049718618393
PassiveAggressiveClassifier,0.5570881559481333,0.5570574315368144,0.5570574315368143,0.5555476975228666,4.50339412689209
Perceptron,0.5556522495866331,0.555650356291011,0.555650356291011,0.5556463436182502,3.703115701675415
BernoulliNB,0.5316334522669915,0.5316873069687238,0.5316873069687237,0.5265993293955777,2.148015022277832
DummyClassifier,0.49808545818466626,0.498084071750996,0.49808407175099606,0.4980819563525515,2.056180953979492
